index,bytes,skeleton_id,entry_count,types
923,144,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2
924,33,1,4,2 2 2 2
925,118,1,19,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
926,85,1,12,2 2 2 2 2 2 2 2 2 2 2 1
927,75,1,9,2 2 2 2 2 2 2 2 2
928,110,1,17,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
929,99,1,16,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
930,116,1,19,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
931,88,1,13,2 2 2 2 2 2 2 2 2 2 2 2 1
932,109,1,17,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1
933,99,1,15,2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
934,116,1,19,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
935,106,1,18,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1
936,52,1,5,2 2 2 2 2
937,87,1,12,2 2 2 2 2 2 2 2 2 2 2 1
938,99,1,15,2 2 2 2 2 2 2 2 2 2 2 2 2 1 1
939,95,1,14,2 2 2 2 2 2 2 2 2 2 2 2 2 1
940,109,1,16,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
941,133,1,24,2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2
942,134,1,27,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2
943,112,1,21,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2
944,45,1,7,2 2 2 2 2 2 2
945,135,1,26,2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 1 2
946,132,1,26,2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 1 2
947,135,1,25,2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 1 2
948,135,1,24,2 2 2 2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 1 2
949,145,1,27,2 2 2 2 2 2 1 2 2 2 1 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2
950,136,1,27,2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2
951,124,1,24,2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2
952,94,1,11,2 2 2 2 2 2 2 2 2 2 1
953,134,1,26,2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 1 2
954,145,1,27,2 2 2 2 2 2 1 2 2 2 1 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2
955,129,1,25,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 1 2
956,132,1,22,2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2
957,140,1,27,2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2
958,145,1,27,2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2
959,117,1,24,2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2
960,123,1,24,2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2
961,135,1,25,2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 1 2
962,129,1,23,2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 1 2
963,135,1,26,2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2
964,142,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
965,140,1,27,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
966,147,1,29,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
967,148,1,29,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
968,149,1,29,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 1
969,144,1,29,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 1
970,145,1,28,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
971,145,1,29,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
972,148,1,29,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 1
973,147,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1
974,147,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1
975,142,1,27,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
976,148,1,29,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 1
